rank	   KS	accession	description
5098	609	L20469_s_at	GB DEF = Truncated dopamine D3 receptor mRNA
5099	609	U33632_at	Two P-domain K+ channel TWIK-1 mRNA
5100	609	U09820_s_at	Helicase II (RAD54L) mRNA
5101	609	U22970_rna1_s_at	6-16 gene (interferon-inducible peptide precursor) extracted from Human interferon-inducible peptide (6-16) gene
5102	609	X59656_at	CRKL V-crk avian sarcoma virus CT10 oncogene homolog-like
5103	609	U04270_at	Putative potassium channel subunit (h-erg) mRNA
5104	609	HG2441-HT2537_s_at	"Retinoblastoma Protein, Mutated"
5105	609	L11372_at	"Protocadherin 43 mRNA, 3' end of cds for alternative splicing PC43-12"
5106	609	U78722_at	Zinc finger gene
5107	609	L76670_f_at	"P58 natural killer cell receptor precursor mRNA, clone cl-39"
5108	609	X75917_at	Fetal beta-MHC binding factor
5109	609	M69203_s_at	SCYA4 Small inducible cytokine A4 (homologous to mouse Mip-1b)
5110	609	K02268_at	BETA-NEOENDORPHIN-DYNORPHIN PRECURSOR
5111	609	X01059_at	GNRH Gonadotropin-releasing hormone (leutinizing-releasing hormone)
5112	609	M60721_at	Homeobox gene
5113	609	U32331_at	"RIG mRNA, complete sequence"
5114	609	U13061_rna1_at	Dehydroepiandrosterone sulfotransferase (STD) gene
5115	609	J02960_cds1_s_at	Unknown protein gene extracted from Human beta-2-adrenergic receptor gene
5116	609	L14812_at	RBL1 Retinoblastoma-like 1 (p107)
5117	609	L38929_at	"PTPRD Protein tyrosine phosphatase, receptor type, delta polypeptide"
5118	609	S50017_s_at	"CNP 2',3'-cyclic nucleotide 3' phosphodiesterase"
5119	609	J03925_at	"ITGAM Integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide)"
5120	609	U77846_rna1_s_at	"Elastin gene, partial cds and partial 3'UTR"
5121	609	HG2797-HT2905_s_at	"Clathrin, Light Polypeptide B, Alt. Splice 1"
5122	609	M29960_at	Steroid receptor (TR2-11) mRNA
5123	609	X14975_at	GB DEF = CD1 R2 gene for MHC-related antigen
5124	609	X66610_at	"ALPHA ENOLASE, LUNG SPECIFIC"
5125	609	U13021_s_at	Negative regulator of programmed cell death ICH-1S (Ich-1) mRNA
5126	609	U03090_at	Ca2+-dependent phospholipase A2 mRNA
5127	609	AB005535_s_at	"GB DEF = Clock, partial cds"
5128	609	D85418_at	Phosphatidylinositol-glycan-class C (PIG-C)
5129	609	Y07846_at	"EWS, gar22, rrp22 and bam22 genes"
5130	609	HG2314-HT2410_at	4-Beta-Galactosyltransferase
5131	609	Y12556_at	AMP-activated protein kinase beta-1
5132	609	D25539_at	KIAA0040 gene
5133	609	S76617_at	BLK Protein-tyrosine kinase blk
5134	609	U89336_cds8_at	"Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence"
5135	609	U34962_at	Transcription factor HCSX (hCsx) mRNA
5136	609	U59325_at	Cadherin-14 mRNA
5137	609	D28235_s_at	Cyclooxygenase-2 (hCox-2) gene
5138	609	X59131_at	D13S106 mRNA for a highly charged amino acid sequene
5139	609	S58544_at	"75 kda infertility-related sperm protein [human, testis, mRNA Partial, 2427 nt]"
5140	609	U67319_at	Mch3 isoform alpha (Mch3) mRNA
5141	609	M60749_at	GB DEF = Histone H4 (H4) gene
5142	609	L77571_at	"GB DEF = DGS-A mRNA, 3' end"
5143	609	M81830_at	GB DEF = Somatostatin receptor isoform 2 (SSTR2) gene
5144	609	U28413_at	Cockayne syndrome complementation group A CSA protein (CSA) mRNA
5145	609	U09279_at	"COL19A1 Collagen, type XIX, alpha 1"
5146	609	U60269_cds1_at	"Putative polymerase; orf similar to the integrase domain of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes, partial cds, and 3'LTR"
5147	609	S77393_at	"GB DEF = Transcript ch138 [human, RF1,RF48 stomach cancer cell lines, mRNA, 235 nt]"
5148	609	M85247_at	"GB DEF = Dopamine D1A receptor gene, complete exon 1, and exon 2, 5' end"
5149	609	L11701_s_at	Phospholipase D mRNA
5150	609	X90840_at	Axonal transporter of synaptic vesicles
5151	609	HG2841-HT2970_at	"Albumin, Alt. Splice 5"
5152	609	HG2379-HT3996_s_at	"Serine Hydroxymethyltransferase, Cytosolic, Alt. Splice 2"
5153	609	S81264_s_at	"GB DEF = Hs-TBX2=T-box gene {T-box region} [human, fetal kidney, mRNA Partial, 283 nt]"
5154	609	U49379_at	Diacylglycerol kinase epsilon DGK mRNA
5155	609	U03105_at	B4-2 protein mRNA
5156	609	M31651_at	SHBG Sex hormone-binding globulin
5157	609	Z26653_at	"LAMA2 Laminin, alpha 2 (merosin, congenital muscular dystrophy)"
5158	609	U19252_s_at	GT334 protein (GT334) gene mRNA
5159	609	HG4094-HT4364_s_at	Transcription Factor Lsf-Id
5160	609	D21337_at	"COL4A6 Collagen, type IV, alpha 6"
5161	609	HG4518-HT4921_r_at	Transcription Factor Btf3 Homolog (Gb:M90355)
5162	609	Z15114_at	"PRKCG Protein kinase C, gamma"
5163	609	AF005361_at	GB DEF = Importin alpha 6 mRNA
5164	609	M86933_s_at	AMELY Amelogenin (chromosome Y encoded)
5165	609	X87852_at	SEX gene
5166	609	AC000061_cds3_at	WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2
5167	609	U03644_at	Recepin mRNA
5168	609	U79251_at	OPCML Opioid-binding cell adhesion molecule
5169	609	HG1071-HT1071_at	Bone Morphogenetic Protein 3
5170	609	M96789_at	"GJA4 Gap junction protein, alpha 4, 37kD (connexin 37)"
5171	609	U48436_s_at	FMR2 Fragile X mental retardation 2
5172	609	U36621_cds2_at	Y-chromosome RNA recognition motif protein (YRRM) gene
5173	609	M67439_at	D(1B) DOPAMINE RECEPTOR
5174	609	X52056_at	SPI1 Spleen focus forming virus (SFFV) proviral integration oncogene spi1
5175	609	J05252_s_at	PCSK2 Proprotein convertase subtilisin/kexin type 2
5176	609	HG1783-HT1803_s_at	Islet Amyloid Polypeptide
5177	609	K03218_at	PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC
5178	609	M84605_at	PUTATIVE TACHYKININ RECEPTOR
5179	609	U19517_at	(apoargC) long mRNA
5180	609	Y09305_at	"Protein kinase, Dyrk4, partial"
5181	609	X00038_at	GB DEF = H4 histone gene
5182	609	D14134_at	"RECA Replication protein A (E coli RecA homolog, RAD51 homolog)"
5183	609	L21893_at	SLC10A1 Na/taurocholate cotransporting polypeptide
5184	609	HG1034-HT1034_f_at	"Atpase, Na+/K+ Transporting, Alpha 1 Polypeptide"
5185	609	L15344_at	High molecular weight B cell growth factor mRNA sequence
5186	609	X56667_at	"CALB2 Calbindin 2, (29kD, calretinin)"
5187	609	X70811_at	"ADRB3 Adrenergic, beta-3-, receptor"
5188	609	AF008937_at	GB DEF = Syntaxin-16C mRNA
5189	609	M27878_at	ZNF84 Zinc finger protein 84 (HPF2)
5190	609	HG2260-HT2349_s_at	Duchenne Muscular Dystrophy Protein (Dmd)
5191	609	U67191_at	Multiple exostosis-like protein (EXTL) mRNA
5192	609	X82209_at	MN1 mRNA
5193	609	X83928_at	Transcription factor TFIID subunit TAFII28
5194	609	X83535_s_at	Membrane-type matrix metalloproteinase
5195	609	D31840_s_at	DRPLA Dentatorubral-pallidoluysian atrophy
5196	609	U25265_at	Protein tyrosine kinase t-Ror1 (Ror1) mRNA
5197	609	Y00081_s_at	IL6 Interleukin 6 (B cell stimulatory factor 2)
5198	609	Y11306_rna1_at	HTcf-4 gene extracted from H.sapiens mRNA for beta catenin/TCF-4
5199	609	L48516_at	"GB DEF = Paraoxonase 3 (PON3) mRNA, 3' end of cds"
5200	609	L77730_at	ADORA3 Adenosine receptor A3
5201	609	AFFX-BioB-5_at	AFFX-BioB-5_at (endogenous control)
5202	609	HG3578-HT3781_at	"Autoimmune Antigen, Thyroid Disease-Related Antigen"
5203	609	Z83805_at	"GB DEF = Axonemal dynein heavy chain (partial, ID hdhc8)"
5204	609	U02609_at	Transducin-like protein mRNA
5205	609	X99656_at	"Protein containing SH3 domain, SH3GL1"
5206	609	M24351_cds2_at	PTHLH gene (parathyroid hormone-like protein A) extracted from Human parathyroid hormone-like protein (PLP) gene
5207	609	Z18954_at	S100A5 S100 calcium-binding protein A5 (formerly S100D)
5208	609	X86019_at	PRPL-2 protein
5209	609	S70609_at	"GB DEF = Glycine transporter type 1b [human, substantia nigra, mRNA, 2364 nt]"
5210	609	AB000114_at	Osteomodulin
5211	609	X51823_at	GB DEF = B-subunit of coagulation factor XIII (FXIIIB) (partial)
5212	609	X68994_at	"CREB gene, exon Y"
5213	609	U61166_at	SH3 domain-containing protein SH3P17 mRNA
5214	609	Z83802_at	"GB DEF = Axonemal dynein heavy chain (partial, ID hdhc3)"
5215	609	X83127_at	"K+ channel beta 1a subunit mRNA, alternatively spliced"
5216	609	HG3288-HT3465_at	Xanthine Dehydrogenase (Gb:U06117)
5217	609	J03027_at	HLA-G MHC class I protein HLA-G
5218	609	M76482_at	DSG3 Desmoglein 3 (pemphigus vulgaris antigen)
5219	609	X99802_at	ZYG homologue
5220	609	J05125_at	PNLIP Pancreatic lipase
5221	609	L17328_at	Pre-T/NK cell associated protein (3Cl) mRNA
5222	609	U12259_cds2_s_at	Paired box homeotic protein (PAX3) gene
5223	609	X51953_at	GB DEF = UCP gene for uncoupling protein exons 3 and 4
5224	609	U59228_at	EDA Ectodermal dysplasia protein
5225	609	U78628_at	"GB DEF = Leukemia inhibitory factor receptor mRNA, 5' untranslated region"
5226	609	M36803_at	HPX Hemopexin
5227	609	M11437_cds2_at	KNG gene (kininogen) extracted from Human kininogen gene
5228	609	HG4462-HT4731_at	"Immunoglobulin Heavy Chain, Vdjc Regions (Gb:L23565)"
5229	609	X81438_at	AMPH Amphiphysin (128kD autoantigen)
5230	609	U79271_at	Clones 23920 and 23921 mRNA sequence
5231	609	Z80787_at	H4/j gene
5232	609	M18391_s_at	TYROSINE-PROTEIN KINASE RECEPTOR EPH PRECURSOR
5233	609	U82275_at	Immunoglobulin-like transcript 1 mRNA
5234	609	J05401_at	"CKMT2 Creatine kinase, mitochondrial 2 (sarcomeric)"
5235	609	M21984_at	"TROPONIN T, FAST SKELETAL MUSCLE ISOFORM BETA"
5236	609	D42054_at	KIAA0092 gene
5237	609	X78710_at	MTF-1 mRNA for metal-regulatory transcription factor
5238	609	S74683_at	"ADP-ribosyltransferase [human, skeletal muscle, mRNA, 1334 nt]"
5239	609	X04391_at	CD5 CD5 antigen (p56-62)
5240	609	HG2796-HT2904_at	Neural Cell Adhesion Molecule
5241	609	HG4063-HT4333_s_at	Transcription Factor Hbf-2
5242	609	M83308_at	CYTOCHROME C OXIDASE POLYPEPTIDE VIA-HEART PRECURSOR
5243	609	M25809_at	"ATP6B1 ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 1"
5244	609	D87011_at	GB DEF = (lambda) DNA for immunoglobin light chain
5245	609	Z33905_at	43kD acetylcholine receptor-associated protein (Rapsyn)
5246	609	L02785_at	DRA Down-regulated in adenoma
5247	609	L32137_at	COMP Cartilage oligomeric matrix protein
5248	609	X80923_at	GB DEF = Nov gene
5249	609	AB002365_at	"KIAA0367 gene, partial cds"
5250	609	U06643_s_at	Keratinocyte lectin 14 (HKL-14) mRNA
5251	609	U19251_s_at	SMA5 mRNA
5252	609	D14838_at	FGF9 Fibroblast growth factor 9 (glia-activating factor)
5253	609	U03272_at	FBN2 Fibrillin 2
5254	609	U59913_at	SMAD5 (Smad5) mRNA
5255	609	X91196_s_at	GB DEF = E14 and A-T proteins
5256	609	AB000409_at	MNK1
5257	609	M29474_at	Recombination activating protein (RAG-1) gene
5258	609	M37190_at	"Ras inhibitor mRNA, 3' end"
5259	609	X99393_s_at	"GB DEF = CMKBR5 gene, non-functional mutant"
5260	609	U17566_at	"SLC19A1 Solute carrier family 19 (folate transporter), member 1"
5261	609	L76569_at	FMR2 Fragile X mental retardation 2
5262	609	U38545_at	ARF-activated phosphatidylcholine-specific phospholipase D1a (hPLD1) mRNA
5263	609	D29642_at	HYPOTHETICAL MYELOID CELL LINE PROTEIN 3
5264	609	X07834_at	"SOD2 Superoxide dismutase 2, mitochondrial"
5265	609	Z70218_s_at	MN1 protein (clone ICRFp507I0498)
5266	609	AFFX-CreX-5_st	AFFX-CreX-5_st (endogenous control)
5267	609	U61981_at	MSH3 MutS (E. coli) homolog 3
5268	609	X01388_at	APOC3 Apolipoprotein C-III
5269	609	S79281_at	"GB DEF = Pancreatic ribonuclease [human, mRNA Recombinant Partial, 491 nt]"
5270	609	X04011_at	CYBB Chronic granulomatous disease
5271	609	S83309_s_at	Nuclear orphan receptor mRNA
5272	609	L40407_at	GB DEF = Thyroid receptor interactor (TRIP9) gene
5273	609	M81750_at	MNDA Myeloid cell nuclear differentiation antigen
5274	609	M81883_at	"GAD1 Glutamate decarboxylase 1 (brain, 67kD)"
5275	609	U52154_at	Clone KGP G-protein coupled inwardly rectifying potassium channel mRNA
5276	609	X62055_at	"PTPN6 Protein tyrosine phosphatase, non-receptor type 6"
5277	609	Y13247_at	Fb19 mRNA
5278	609	X66922_at	MYO-INOSITOL-1(OR 4)-MONOPHOSPHATASE
5279	609	U79300_at	Clone 23629 mRNA sequence
5280	609	M28439_at	"KERATIN, TYPE I CYTOSKELETAL 17"
5281	609	M60527_at	DCK Deoxycytidine kinase
5282	609	M55422_at	Krueppel-related zinc finger protein (H-plk) mRNA
5283	609	X66533_at	"GUANYLATE CYCLASE SOLUBLE, BETA-1 CHAIN"
5284	609	D14446_at	HFREP-1 mRNA for unknown protein
5285	609	U20980_at	Chromatin assembly factor-I p60 subunit mRNA
5286	609	M31165_at	TUMOR NECROSIS FACTOR-INDUCIBLE PROTEIN TSG-6 PRECURSOR
5287	609	U88871_at	Peroxisome targeting signal 2 receptor (Pex7) mRNA
5288	609	U08015_at	NF-ATc mRNA
5289	609	U28758_s_at	"GB DEF = NMDA receptor subtype 2B subunit (GRIN2B) mRNA, partial cds"
5290	609	HG4128-HT4398_at	"Anion Exchanger 3, Cardiac Isoform"
5291	609	HG2689-HT2785_at	"Mucin 5b, Tracheobronchial (Gb:X74955)"
5292	609	X72177_rna1_at	"C6 gene, exon 1"
5293	609	U19142_at	GAGE1 G antigen 1 (GAGE-1)
5294	609	HG4258-HT4528_at	"Kinase Inhibitor P27kip1, Cyclin-Dependent"
5295	609	M22403_s_at	PLATELET GLYCOPROTEIN IB ALPHA CHAIN PRECURSOR
5296	609	X75315_at	FAU Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)
5297	609	D87440_at	"KIAA0252 gene, partial cds"
5298	609	U18671_rna1_at	Stat2 gene
5299	609	M12174_at	ARH6 Aplysia ras-related homolog 6
5300	609	U65002_at	Zinc finger protein PLAG1 mRNA
5301	609	X79781_at	GB DEF = Ray mRNA
5302	609	AB000895_at	"GB DEF = Cadherin FIB1, partial cds"
5303	609	U82979_at	GB DEF = Immunoglobulin-like transcript-3 mRNA
5304	609	X68242_at	PUTATIVE HIV-1 INDUCED PROTEIN HIN-1
5305	609	HG4052-HT4322_at	Glutamate Ionotropic Receptor 1
5306	609	M21624_at	"TCRD T-cell receptor, delta"
5307	609	HG2167-HT2237_at	"Protein Kinase Ht31, Camp-Dependent"
5308	609	AFFX-HUMISGF3A/M97935_5_at	AFFX-HUMISGF3A/M97935_5_at (endogenous control)
5309	609	M24902_at	"ACPP Acid phosphatase, prostate"
5310	609	HG1604-HT1604_at	"Adrenergic, Beta, Receptor Kinase 2"
5311	609	M18255_cds2_s_at	"PRKACB gene (protein kinase C-beta-2) extracted from Human protein kinase C beta 1 and 2 genes, next to last"
5312	609	HG371-HT1063_s_at	"Mucin 1, Epithelial, Alt. Splice 6"
5313	609	U62801_at	Protease M mRNA
5314	609	U10492_at	MEOX1 Homeobox protein mox1
5315	609	X66141_at	"MYL2 Myosin, light polypeptide 2, regulatory, cardiac, slow"
5316	609	X53296_s_at	IL1RN Interleukin 1 receptor antagonist
5317	609	L15409_at	VON HIPPEL-LINDAU DISEASE TUMOR SUPPRESSOR
5318	609	U46689_at	Microsomal aldehyde dehydrogenase (ALD10) mRNA
5319	609	L24893_s_at	MPZ Myelin protein zero (Charcot-Marie-Tooth neuropathy 1B)
5320	609	Z22780_at	CYLICIN
5321	609	Z38133_s_at	Myosin
5322	609	HG2999-HT4756_s_at	"Thyroid Peroxidase, Alt. Splice 2"
5323	609	M97639_at	Transmembrane receptor (ror2) mRNA
5324	609	U00954_at	GB DEF = Clone CE29 7.2 (CAC)n/(GTG)n repeat-containing mRNA
5325	609	U37248_at	Alpha-mannosidase (6A8) mRNA
5326	609	D83646_at	Metalloproteinase
5327	609	U34360_at	Lymphoid nuclear protein (LAF-4) mRNA
5328	609	AC000062_at	"GB DEF = PAC clone 2G3A from 13q12-13q13, complete sequence"
5329	609	M63154_at	GIF Polymeric immunoglobulin receptor
5330	609	HG1148-HT1148_at	Lipopolysaccharide-Binding Protein
5331	609	L41066_at	NF-AT3 mRNA
5332	609	X04898_rna1_at	Apolipoprotein AII
5333	609	D87459_at	KIAA0269 gene
5334	609	U23752_at	SOX11 SRY (sex-determining region Y)-box 11
5335	609	U82321_at	GB DEF = Clone 14.9B mRNA sequence
5336	609	L19872_at	AHR AH-receptor
5337	609	U07000_cds4_at	BCR gene (unknown) extracted from Human breakpoint cluster region (BCR) gene
5338	609	U33317_rna1_at	Defensin 6 (HD-6) gene
5339	609	M59916_at	"SMPD1 Sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)"
5340	609	U07794_cds2_at	Tyrosine kinase (TXK) gene
5341	609	X00237_at	GB DEF = F variable segment 5' to antithrombin III gene (AT III)
5342	609	HG2148-HT2218_f_at	"Mucin 3, Intestinal (Gb:M55406)"
5343	609	U00951_at	Clone A9A2BR11 (CAC)n/(GTG)n repeat-containing mRNA
5344	609	M16405_at	MUSCARINIC ACETYLCHOLINE RECEPTOR M4
5345	609	M60094_rna1_at	Testicular H1 histone (H1) gene
5346	609	U11036_at	"GB DEF = Ibd1 mRNA, partial cds"
5347	609	U43142_at	Vascular endothelial growth factor related protein VRP mRNA
5348	609	U51269_at	Armadillo repeat protein mRNA
5349	609	HG4480-HT4833_at	"Collagen, Type Vi, Alpha 2, N-Terminal Domain"
5350	609	M15881_at	"UMOD Uromodulin (uromucoid, Tamm-Horsfall glycoprotein)"
5351	609	X67337_at	HPBRII-4 mRNA
5352	609	L43576_at	(clone EST02946) mRNA
5353	609	U86409_at	"GB DEF = Hyaluronan synthase 3 (HAS3) gene, partial cds"
5354	609	U90910_at	Clone 23564 mRNA sequence
5355	609	U08198_rna1_at	Complement C8 gamma subunit precursor (C8G) gene
5356	609	M38180_rna1_at	3-beta-hydroxysteroid dehydrogenase/delta-5-delta-4-isomerase (3-beta-HSD) gene
5357	609	U11701_at	LIM-homeobox domain protein (hLH-2) mRNA
5358	609	X97261_r_at	Metallothionein isoform 1R
5359	609	X58964_at	GB DEF = MHC class II regulatory factor RFX
5360	609	U80017_rna2_at	"Naip gene (neuronal apoptosis inhibitory protein) extracted from Human basic transcription factor 2 p44 (btf2p44) gene, partial cds, neuronal apoptosis inhibitory protein (naip) and survival motor neuron protein (smn) genes"
5361	609	L38616_at	Brain and reproductive organ-expressed protein (BRE) gene
5362	609	L22075_at	Guanine nucleotide regulatory protein (G13) mRNA
5363	609	X52008_at	"GLRA2 Glycine receptor, alpha 2"
5364	609	X66436_at	POSSIBLE GTP-BINDING PROTEIN HSR1
5365	609	U63329_at	GB DEF = MutY homolog (hMYH) gene
5366	609	L05424_cds2_at	CD44 gene (cell surface glycoprotein CD44) extracted from Human hyaluronate receptor (CD44) gene
5367	609	S70004_at	"Glycogen synthase [human, liver, mRNA, 2912 nt]"
5368	609	X74819_at	TNNT2 Troponin T2 (cardiac)
5369	609	U12622_at	"GB DEF = Beaded intermediate filament protein CP115 mRNA, partial cds"
5370	609	U80628_at	Thymidine kinase 2 (TK2) mRNA
5371	609	L05597_at	GB DEF = Serotonin receptor gene
5372	609	X54150_at	"FCAR Fc fragment of IgA, receptor for"
5373	609	D50915_at	KIAA0125 gene
5374	609	HG2743-HT3926_s_at	"Caldesmon 1, Alt. Splice 6, Non-Muscle"
5375	609	Z47043_at	"GB DEF = Partial cDNA sequence, clone x529, unknown open reading frame;"
5376	609	AFFX-BioB-3_st	AFFX-BioB-3_st (endogenous control)
5377	609	V00503_at	"COL1A2 Collagen, type I, alpha-2"
5378	609	U44060_at	Homeodomain protein (Prox 1) mRNA
5379	609	U67932_s_at	"CAMP phosphodiesterase mRNA, 3' end"
5380	609	S82185_at	GB DEF = Escherichia coli unknown mRNA
5381	609	Y11180_at	"GB DEF = Twist protein, partial"
5382	609	X70083_at	GB DEF = ABP-280-like mRNA for filamin (695 bps)
5383	609	Z83742_at	GB DEF = HH2A/c gene
5384	609	M19989_cds2_at	Platelet-derived growth factor (PDGFA) A chain gene
5385	609	L75847_at	ZNF45 Zinc finger protein 45 (a Kruppel-associated box (KRAB) domain polypeptide)
5386	609	X76383_at	HE3(alpha)
5387	609	D00408_s_at	CYP3A7 Cytochrome P450 IIIA7 (P450-HFLa)
5388	609	X98178_s_at	GB DEF = MACH-beta-4 protein
5389	609	X52005_at	"MYL4 Myosin, light polypeptide 4, alkali; atrial, embryonic"
5390	609	M13666_at	MYB Proto-oncogene c-myb {alternative products}
5391	609	U43959_at	ADD2 Adducin 2 (beta) {alternative products}
5392	609	D37984_s_at	RECQL RecQ protein-like (DNA helicase Q1-like)
5393	609	L05606_at	Myosin binding protein H mRNA
5394	609	D86964_at	"KIAA0209 gene, partial cds"
5395	609	M16276_at	"HLA-DQB1 Major histocompatibility complex, class II, DQ beta 1"
5396	609	U73167_cds2_s_at	H_LUCA14.2a gene extracted from Human cosmid LUCA14
5397	609	S80267_s_at	"P72syk {G insertion nucleotide 92} [human, Jurkat E6-1 J.CaM1 cells, mRNA Partial Mutant, 1909 nt]"
5398	609	X95406_at	GB DEF = Cyclin E gene
5399	609	U43292_at	MDS1B (MDS1) mRNA
5400	609	U12775_at	AGOUTI SWITCH PROTEIN PRECURSOR
5401	609	L08895_at	"MEF2C MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)"
5402	609	M19311_at	"CALM1 Calmodulin 1 (phosphorylase kinase, delta)"
5403	609	X96849_at	GB DEF = 5' mRNA of PECAM-1 molecule
5404	609	L34155_at	Laminin-related protein (LamA3) mRNA
5405	609	Y10141_s_at	"GB DEF = DAT1 gene, partial, VNTR"
5406	609	U28369_at	Semaphorin V mRNA
5407	609	M33987_at	CA1 Carbonic anhydrase I
5408	609	S34389_at	HMOX2 Heme oxygenase (decycling) 2
5409	609	L38500_at	GB DEF = Na+/myo-inositol cotransporter (SLC5A3) gene
5410	609	U82613_at	DNA-binding protein ABP/ZF mRNA
5411	609	L19778_at	Histone (H2A.1b) mRNA
5412	609	U55764_at	"Estrogen sulfotransferase mRNA, partial cds"
5413	609	L32832_s_at	Zinc finger homeodomain protein (ATBF1-A) mRNA
5414	609	HG945-HT945_s_at	Nucleic Acid-Binding Protein (Gb:L12693)
5415	609	HG3123-HT3299_at	Homeotic Protein Gbx2
5416	609	M80359_at	PUTATIVE SERINE/THREONINE-PROTEIN KINASE P78
5417	609	U71207_at	Eyes absent homolog (Eab1) mRNA
5418	609	HG1877-HT1917_s_at	"Myelin Basic Protein, Alt. Splice Form 4"
5419	609	Y00285_s_at	IGF2R Insulin-like growth factor 2 receptor
5420	609	HG4157-HT4427_at	Glycinamide Ribonucleotide Synthetase
5421	609	M33317_f_at	"CYP2A7 Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 7"
5422	609	HG2365-HT2461_at	Glyceraldehyde-3-Phosphate Dehydrogenase (Gb:K03121)
5423	609	L08904_at	H2K binding factor 2 (KBF2) mRNA
5424	609	Y07683_at	GB DEF = P2X3 purinoceptor
5425	609	M97676_at	MSX1 Msh (Drosophila) homeo box homolog 1 (formerly homeo box 7)
5426	609	HG3994-HT4264_at	"Cpg-Enriched Dna, Clone S16"
5427	609	L39833_at	"K+ channel beta 1a subunit mRNA, alternatively spliced"
5428	609	Y07828_at	RING protein
5429	609	L15309_at	ZNF141 Zinc finger protein 141 (clone pHZ-44)
5430	609	U18550_at	PROBABLE G PROTEIN-COUPLED RECEPTOR GPR3
5431	609	M59820_at	CSF3R Colony stimulating factor 3 receptor (granulocyte)
5432	609	U67156_at	Mitogen-activated kinase kinase kinase 5 (MAPKKK5) mRNA
5433	609	D37965_at	PDGF receptor beta-like tumor suppressor (PRLTS)
5434	609	X54457_s_at	CEL Carboxyl ester lipase (bile salt-stimulated lipase)
5435	609	X86428_s_at	HPTPA mRNA
5436	609	AJ001047_at	GB DEF = Matrilin-3
5437	609	M12959_s_at	TCRA T cell receptor alpha-chain
5438	609	L41913_at	"GB DEF = Retinoblastoma susceptibility protein (RB1) gene, exon 26, bases 174145-174668 in L11910"
5439	609	M59979_at	PTGS1 Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
5440	609	X80062_at	SA mRNA
5441	609	J04027_at	Adenosine triphosphatase mRNA
5442	609	M58569_s_at	"FGA Fibrinogen, A alpha polypeptide"
5443	609	X81372_at	Biphenyl hydrolase-related protein
5444	609	U16861_at	Inward rectifier K+ channel protein (hirk1) mRNA
5445	609	X07495_at	HOMEOBOX PROTEIN HOX-C4
5446	609	HG3432-HT3620_s_at	"Fibroblast Growth Factor Receptor K-Sam, Alt. Splice 3, K-Sam Iii"
5447	609	U73328_at	DLX7 Distal-less homeobox 7
5448	609	AB002314_at	KIAA0316 gene
5449	609	M89957_at	IGB Immunoglobulin-associated beta (B29)
5450	609	M16961_at	AHSG Alpha-2-HS-glycoprotein alpha and beta chain
5451	609	M86546_at	PBX1 PBX1a and PBX1b
5452	609	HG4668-HT5083_s_at	"Transcription Factor Mef2, Alt. Splice 2"
5453	609	U32849_at	Hou mRNA
5454	609	X13255_at	DBH Dopamine beta-hydroxylase (dopamine beta-monooxygenase)
5455	609	U42387_at	Pancreatic polypeptide receptor mRNA
5456	609	U72671_at	Telencephalin precursor mRNA
5457	609	M76729_at	"COL5A1 Collagen, type V, alpha 1"
5458	609	D86981_at	"KIAA0228 gene, partial cds"
5459	609	M76732_s_at	"GB DEF = HOX7 gene, exon 2 and complete cds"
5460	609	S81661_s_at	FGF7 Fibroblast growth factor 7 (keratinocyte growth factor)
5461	609	X52213_s_at	GB DEF = Ltk mRNA
5462	609	U01120_at	G6PT Glucose-6-phosphatase
5463	609	U43843_at	H-neuro-d4 protein mRNA
5464	609	X72755_at	Humig mRNA
5465	609	U24576_at	"Breast tumor autoantigen mRNA, complete sequence"
5466	609	L14778_s_at	"PPP3CA Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha){alternative products}"
5467	609	U06632_at	P80-COILIN
5468	609	L15440_at	"GB DEF = Tyrosine hydroxylase (TH) gene, 3' end; insulin (INS) gene; insulin-like growth factor 2 (IGF2) gene, 5' end"
5469	609	Y00757_at	"SGNE1 Secretory granule, neuroendocrine protein 1 (7B2 protein)"
5470	609	L02867_at	"62 kDa paraneoplastic antigen mRNA, 3' end"
5471	609	U60269_cds3_at	"Putative envelope protein; orf similar to env of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes, partial cds, and 3'LTR"
